Roll,Pitch
2.89399648,-6.53046656
3.83920813,-8.26196957
-1.09651101,-2.27783012
3.08516669,-5.76033831
1.87109697,-6.24825859
3.33952451,-3.17068458
4.44745636,-2.62388802
2.80592942,-2.49394989
2.42930245,-2.88693953
2.89974523,-4.27854156
3.49504471,-3.98632145
2.86415362,-5.29779959
3.63149500,-3.78961205
3.54272056,-4.03213072
4.70667219,-8.28492451
-1.60512805,-1.22418320
1.94604468,-1.63037646
3.35824418,-1.33643448
2.97856712,-2.65392232
2.16942716,-3.40190935
4.01438379,-1.48575914
10.17368031,1.45867193
8.96743107,4.22117043
7.38945818,-0.18814476
3.82931638,-3.46415091
5.83327961,-5.99150562
0.47176319,-0.73714197
1.55374694,0.50790012
2.63440919,-0.32187158
3.15057039,-0.92451215
2.50847316,-1.42015231
4.30183172,-1.04465997
3.41479969,-0.89166278
3.30225444,-1.65044141
2.78331351,-1.79527378
2.68614364,-1.44600868
1.98729527,-0.54188901
2.71418381,-1.37162292
3.52226329,-2.10066557
5.57254744,-4.46079159
1.32531941,1.71699500
0.35549498,-0.35549498
4.35297918,-2.82647681
0.74135876,-0.20757511
-2.17060661,0.05945446
2.94244981,2.18267632
2.21611452,-0.41742840
3.30061865,-1.16779530
1.21221399,-2.15202522
1.43412220,0.87797666
1.57241464,0.25668940
1.51852632,0.63771957
1.41805971,-0.20677972
2.01957059,-0.27123043
2.05851865,-1.04358912
1.83352232,-0.23278913
1.47494328,0.36117309
1.10047984,0.55021453
0.53288174,1.69290519
0.35013109,-0.31830066
1.97652674,1.20936632
1.41211033,0.42973325
1.49136269,0.51736015
1.78470421,-1.33087027
1.44402015,0.69186991
1.22923255,0.73750335
1.66325605,0.60474664
1.80111873,0.39018112
0.71914816,0.26967445
1.68279505,0.69106537
1.39865398,0.21281800
1.31896746,0.23979178
1.61686766,0.41913602
1.12028968,-0.51470178
0.97359926,-0.06084704
1.18778038,-0.03045373
1.43135023,0.05963340
1.04706347,-0.08974334
1.31756008,0.44913322
1.71578717,-2.26754332
1.73303592,1.73303592
1.58504307,2.77455592
1.48867893,-0.35595068
0.25225914,0.34685731
2.74289465,-0.76656079
1.08037937,0.22743540
2.11059237,-1.36724651
-5.00478077,-4.05698490
3.34918523,3.01086497
7.00830221,5.12206793
1.48314726,-4.20555639
-0.57607508,-6.58161020
1.99005234,-1.53068376
2.68694305,1.08028638
1.25005150,0.59373796
1.38341427,-1.13743806
2.09285045,-1.73900950
1.87431991,-0.71391779
1.51460159,-0.15144269
1.22082210,0.06103649
1.68367779,-0.69142777
1.60661495,-0.95198715
1.82798052,-1.04872191
1.68545651,-0.66206288
1.27638388,-0.33426526
1.76372278,-0.41844812
1.91990817,-0.89982551
1.69682491,-0.65483338
2.02167225,-0.39218643
