q_x1_0,q_x1_1,q_x1_2,q_x1_3
0.00000000,-1397.40856934,8682.92675781,94.96951294
0.00000000,-1207.46948242,9632.62207031,746.18902588
0.00000000,-407.01220703,10500.91503906,203.50610352
0.00000000,-1763.71948242,9998.93359375,325.60977173
0.00000000,-1153.20129395,8384.45117188,325.60977173
0.00000000,-1628.04882813,8587.95703125,-461.28048706
0.00000000,-922.56097412,7678.96337891,-379.87805176
0.00000000,-624.08532715,5874.54248047,0.00000000
0.00000000,271.34146118,5481.09765625,244.20732117
0.00000000,149.23780823,5318.29248047,420.57925415
0.00000000,379.87805176,5548.93310547,434.14636230
0.00000000,-27.13414764,5684.60351563,312.04266357
0.00000000,-352.74389648,5766.00634766,135.67073059
0.00000000,-678.35363770,5969.51220703,122.10366058
0.00000000,-230.64024353,6417.22607422,569.81707764
0.00000000,1723.01831055,7787.50000000,-420.57925415
0.00000000,-732.62194824,7502.59179688,-203.50610352
0.00000000,488.41464233,7176.98242188,-54.26829529
0.00000000,1682.31701660,7204.11572266,217.07318115
0.00000000,1967.22570801,7692.53027344,610.51831055
0.00000000,2184.29882813,7896.03662109,1153.20129395
0.00000000,542.68292236,6078.04882813,1492.37805176
0.00000000,-1899.39038086,2279.26831055,1166.76831055
0.00000000,-5494.66455078,583.38415527,719.05487061
0.00000000,-6213.71972656,501.98171997,379.87805176
0.00000000,-4965.54882813,2455.64038086,556.25000000
0.00000000,-6471.49414063,2659.14624023,298.47561646
0.00000000,-4965.54882813,3391.76855469,542.68292236
0.00000000,-3934.45141602,2157.16455078,501.98171997
0.00000000,-3703.81103516,1736.58544922,244.20732117
0.00000000,-3161.12817383,1492.37805176,149.23780823
0.00000000,-2984.75610352,1465.24389648,27.13414764
0.00000000,-3310.36596680,1302.43908691,-94.96951294
0.00000000,-3364.63403320,1438.10974121,-189.93902588
0.00000000,-3351.06713867,1356.70727539,-135.67073059
0.00000000,-3473.17089844,1750.15246582,-108.53659058
0.00000000,-3622.40869141,1736.58544922,67.83536530
0.00000000,-3608.84155273,1750.15246582,189.93902588
0.00000000,-4341.46337891,2197.86596680,217.07318115
0.00000000,-4205.79248047,3907.31713867,461.28048706
0.00000000,-6050.91455078,2347.10375977,176.37194824
0.00000000,-6525.76220703,4178.65869141,461.28048706
0.00000000,-6878.50634766,5806.70751953,434.14636230
0.00000000,-5779.57324219,4490.70166016,529.11590576
0.00000000,-4558.53662109,4558.53662109,814.02441406
0.00000000,-5440.39648438,4450.00000000,651.21954346
0.00000000,-3554.57324219,2726.98168945,379.87805176
0.00000000,-3283.23168945,2482.77441406,0.00000000
0.00000000,-3201.82934570,1817.98779297,-40.70122147
0.00000000,-4192.22558594,3405.33544922,-230.64024353
0.00000000,-2686.28051758,1343.14025879,-217.07318115
0.00000000,-2238.56713867,1221.03662109,-135.67073059
0.00000000,-2564.17675781,1288.87194824,-149.23780823
0.00000000,-2645.57934570,1410.97558594,-149.23780823
0.00000000,-2916.92089844,1994.35986328,-149.23780823
0.00000000,-3174.69531250,2292.83544922,-176.37194824
0.00000000,-3120.42675781,2306.40258789,-217.07318115
0.00000000,-2849.08544922,2238.56713867,-271.34146118
0.00000000,-2591.31103516,1817.98779297,-203.50610352
0.00000000,-2089.32934570,1044.66467285,-135.67073059
0.00000000,-2279.26831055,1573.78051758,-230.64024353
0.00000000,-2102.89624023,800.45733643,-149.23780823
