q_xT_0,q_xT_1,q_xT_2,q_xT_3
0.00000000,-21.19664764,131.70732117,1.44054878
0.00000000,-18.31554985,146.11280823,11.31859779
0.00000000,-6.17378044,159.28353882,3.08689022
0.00000000,-26.75304985,151.66921997,4.93902445
0.00000000,-17.49237823,127.17987823,4.93902445
0.00000000,-24.69512177,130.26676941,-6.99695110
0.00000000,-13.99390221,116.47866058,-5.76219511
0.00000000,-9.46646309,89.10823059,0.00000000
0.00000000,4.11585379,83.14025116,3.70426846
0.00000000,2.26371956,80.67073059,6.37957335
0.00000000,5.76219511,84.16921234,6.58536625
0.00000000,-0.41158539,86.22713470,4.73323154
0.00000000,-5.35060978,87.46189117,2.05792689
0.00000000,-10.28963375,90.54878235,1.85213423
0.00000000,-3.49847555,97.33994293,8.64329243
0.00000000,26.13567162,118.12500000,-6.37957335
0.00000000,-11.11280441,113.80335999,-3.08689022
0.00000000,7.40853691,108.86433411,-0.82317078
0.00000000,25.51829338,109.27590942,3.29268312
0.00000000,29.83994102,116.68444824,9.26067066
0.00000000,33.13262558,119.77133942,17.49237823
0.00000000,8.23170757,92.19512177,22.63719559
0.00000000,-28.81097794,34.57316971,17.69817162
0.00000000,-83.34603882,8.84908581,10.90701199
0.00000000,-94.25305176,7.61432934,5.76219511
0.00000000,-75.32012177,37.24847794,8.43750000
0.00000000,-98.16311646,40.33536530,4.52743912
0.00000000,-75.32012177,51.44817352,8.23170757
0.00000000,-59.67988205,32.72103500,7.61432934
0.00000000,-56.18140030,26.34146500,3.70426846
0.00000000,-47.94969559,22.63719559,2.26371956
0.00000000,-45.27439117,22.22560883,0.41158539
0.00000000,-50.21341324,19.75609779,-1.44054878
0.00000000,-51.03658676,21.81402397,-2.88109756
0.00000000,-50.83079529,20.57926750,-2.05792689
0.00000000,-52.68292999,26.54725647,-1.64634156
0.00000000,-54.94665146,26.34146500,1.02896345
0.00000000,-54.74085617,26.54725647,2.88109756
0.00000000,-65.85366058,33.33841324,3.29268312
0.00000000,-63.79573059,59.26829529,6.99695110
0.00000000,-91.78353882,35.60213470,2.67530489
0.00000000,-98.98628235,63.38415146,6.99695110
0.00000000,-104.33689117,88.07926941,6.58536625
0.00000000,-87.66768646,68.11738586,8.02591515
0.00000000,-69.14633942,69.14633942,12.34756088
0.00000000,-82.52286530,67.50000000,9.87804890
0.00000000,-53.91768265,41.36433029,5.76219511
0.00000000,-49.80183029,37.66006088,0.00000000
0.00000000,-48.56707382,27.57621956,-0.61737806
0.00000000,-63.58993912,51.65396500,-3.49847555
0.00000000,-40.74695206,20.37347603,-3.29268312
0.00000000,-33.95579529,18.52134132,-2.05792689
0.00000000,-38.89481735,19.55030632,-2.26371956
0.00000000,-40.12957382,21.40243912,-2.26371956
0.00000000,-44.24542999,30.25152588,-2.26371956
0.00000000,-48.15549088,34.77896500,-2.67530489
0.00000000,-47.33231735,34.98475647,-3.29268312
0.00000000,-43.21646500,33.95579529,-4.11585379
0.00000000,-39.30640030,27.57621956,-3.08689022
0.00000000,-31.69207573,15.84603786,-2.05792689
0.00000000,-34.57316971,23.87195015,-3.49847555
0.00000000,-31.89786530,12.14176846,-2.26371956
0.00000000,-30.04573250,14.40548897,-2.26371956
0.00000000,-27.57621956,8.84908581,-1.85213423
0.00000000,-35.39634323,13.58231735,-2.67530489
0.00000000,-31.07469559,8.64329243,-3.08689022
0.00000000,-30.04573250,8.02591515,-2.67530489
