AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0.10449219,0.04638672,0.91162109,-6.28048801,39.02439117,0.42682928
0.00000000,0.00000000,0.93603516,-5.42682934,43.29268265,3.35365868
0.03955078,-0.01904297,0.99414063,-1.82926834,47.19512177,0.91463417
0.10107422,0.05419922,1.00048828,-7.92682934,44.93902588,1.46341467
0.10253906,0.03076172,0.93603516,-5.18292713,37.68292618,1.46341467
0.04589844,0.04833984,0.82714844,-7.31707335,38.59756088,-2.07317066
0.04785156,0.08105469,1.04101563,-4.14634132,34.51219559,-1.70731711
0.04296875,0.04833984,0.98535156,-2.80487800,26.40243912,0.00000000
0.04931641,0.04150391,0.97705078,1.21951222,24.63414764,1.09756100
0.07128906,0.04833984,0.95166016,0.67073172,23.90243912,1.89024389
