q_x1_0,q_x1_1,q_x1_2,q_x1_3
0.00000000,1.53803182,-3.43164158,0.00144055f
0.00000000,2.07271123,-4.41161013,0.01131860f
0.00000000,-0.60405684,-1.17710006,0.00308689f
0.00000000,1.67064404,-3.07303596,0.00493902f
0.00000000,0.98817140,-3.26770687,0.00493902f
0.00000000,1.77365828,-1.63426638,-0.00699695f
0.00000000,2.33921766,-1.32893991,-0.00576220f
0.00000000,1.44427645,-1.24466610,0.00000000f
0.00000000,1.25115597,-1.44408607,0.00370427f
0.00000000,1.48991358,-2.15747380,0.00637957f
0.00000000,1.80147588,-2.01065564,0.00658537f
0.00000000,1.47548342,-2.68775678,0.00473323f
0.00000000,1.87005889,-1.91182578,0.00205793f
0.00000000,1.82627118,-2.04047561,0.00185213f
0.00000000,2.44274950,-4.25602579,0.00864329f
0.00000000,-0.83697498,-0.59209764,-0.00637957f
0.00000000,1.01857018,-0.80382955,-0.00308689f
0.00000000,1.76282525,-0.64829063,-0.00082317f
0.00000000,1.57645929,-1.34195542,0.00329268f
0.00000000,1.16156411,-1.74445856,0.00926067f
0.00000000,2.14756894,-0.73292345,0.01749238f
0.00000000,5.27815199,0.80059719,0.02263720f
0.00000000,4.51317739,2.14828610,0.01769817f
0.00000000,3.76217961,-0.09252451,0.01090701f
0.00000000,1.93897676,-1.79148650,0.00576220f
0.00000000,2.96512032,-3.06502080,0.00843750f
0.00000000,0.19972637,-0.36603704,0.00452744f
0.00000000,0.76700336,0.28746068,0.00823171f
0.00000000,1.31345606,-0.14800942,0.00761433f
0.00000000,1.57286668,-0.45669758,0.00370427f
0.00000000,1.24524617,-0.70721447,0.00226372f
0.00000000,2.15131712,-0.51687133,0.00041159f
0.00000000,1.70329392,-0.44147727,-0.00144055f
0.00000000,1.64713848,-0.82505029,-0.00288110f
0.00000000,1.38398790,-0.89871746,-0.00205793f
0.00000000,1.33652580,-0.72037405,-0.00164634f
0.00000000,0.98189938,-0.26214913,0.00102896f
0.00000000,1.35101700,-0.68329102,0.00288110f
0.00000000,1.76852155,-1.05764163,0.00329268f
0.00000000,2.84212637,-2.27113342,0.00699695f
0.00000000,0.64457244,0.90928853,0.00267531f
0.00000000,0.14079040,-0.15760946,0.00699695f
0.00000000,2.28691411,-1.47551513,0.00658537f
0.00000000,0.34740102,-0.07656457,0.00802592f
0.00000000,-1.16117382,0.06410994,0.01234756f
0.00000000,1.49961841,1.17379344,0.00987805f
0.00000000,1.10290360,-0.19243905,0.00576220f
0.00000000,1.65246689,-0.57480299,0.00000000f
0.00000000,0.58999765,-1.07635593,-0.00061738f
0.00000000,0.70588714,0.47619236,-0.00349848f
0.00000000,0.77285844,0.13956048,-0.00329268f
0.00000000,0.74715871,0.33006418,-0.00205793f
0.00000000,0.69536543,-0.09451305,-0.00226372f
