Roll,Pitch
2.89399648,-6.53046656
3.83920813,-8.26196957
-1.09651113,-2.27783012
3.08516693,-5.76033831
1.87109709,-6.24825859
3.33952451,-3.17068458
4.44745636,-2.62388802
2.80592942,-2.49395013
2.42930245,-2.88693953
2.89974523,-4.27854204
3.49504495,-3.98632145
2.86415362,-5.29779959
3.63149524,-3.78961205
3.54272079,-4.03213072
4.70667267,-8.28492451
-1.60512805,-1.22418320
1.94604480,-1.63037646
3.35824418,-1.33643448
2.97856712,-2.65392232
2.16942716,-3.40190959
4.01438379,-1.48575914
10.17368031,1.45867193
8.96743107,4.22117043
7.38945818,-0.18814477
3.82931638,-3.46415114
5.83328009,-5.99150562
0.47176319,-0.73714197
1.55374706,0.50790018
2.63440919,-0.32187161
3.15057039,-0.92451221
2.50847316,-1.42015243
4.30183220,-1.04465997
3.41479969,-0.89166278
3.30225444,-1.65044153
2.78331375,-1.79527378
2.68614364,-1.44600880
1.98729527,-0.54188901
2.71418405,-1.37162304
3.52226329,-2.10066557
5.57254744,-4.46079159
1.32531953,1.71699500
0.35549498,-0.35549498
4.35297966,-2.82647681
0.74135876,-0.20757511
-2.17060661,0.05945446
2.94245005,2.18267632
2.21611452,-0.41742840
3.30061865,-1.16779530
1.21221399,-2.15202546
1.43412220,0.87797666
1.57241464,0.25668940
1.51852632,0.63771957
1.41805983,-0.20677972
2.01957059,-0.27123046
2.05851865,-1.04358912
1.83352244,-0.23278914
1.47494340,0.36117312
1.10047984,0.55021459
0.53288180,1.69290519
0.35013112,-0.31830066
1.97652686,1.20936632
1.41211045,0.42973325
1.49136269,0.51736015
1.78470421,-1.33087027
1.44402027,0.69186991
1.22923267,0.73750335
1.66325605,0.60474670
1.80111873,0.39018115
0.71914816,0.26967448
1.68279517,0.69106537
1.39865398,0.21281800
1.31896746,0.23979180
1.61686766,0.41913602
1.12028968,-0.51470184
0.97359926,-0.06084704
1.18778038,-0.03045373
1.43135023,0.05963340
1.04706347,-0.08974334
1.31756008,0.44913322
1.71578729,-2.26754332
1.73303604,1.73303604
1.58504319,2.77455592
1.48867905,-0.35595071
0.25225914,0.34685734
2.74289465,-0.76656079
1.08037937,0.22743541
2.11059237,-1.36724663
-5.00478077,-4.05698490
3.34918523,3.01086497
7.00830269,5.12206793
1.48314726,-4.20555687
-0.57607514,-6.58161068
1.99005234,-1.53068376
2.68694329,1.08028638
1.25005150,0.59373802
1.38341427,-1.13743818
2.09285045,-1.73900962
1.87432003,-0.71391779
1.51460159,-0.15144269
1.22082210,0.06103650
1.68367779,-0.69142783
1.60661495,-0.95198721
1.82798052,-1.04872191
1.68545651,-0.66206288
1.27638388,-0.33426526
1.76372290,-0.41844812
1.91990817,-0.89982557
1.69682491,-0.65483344
2.02167225,-0.39218643
