K_00,K_01,K_02,K_03,K_10,K_11,K_12,K_13
0.00000000,0.00000000,0.53486282,0.00000000,0.00000000,0.53486282,0.00000000,0.00000000
0.00000000,0.00000000,0.54206455,0.00000000,0.00000000,0.54206455,0.00000000,0.00000000
0.00000000,0.00000000,0.54834682,0.00000000,0.00000000,0.54834682,0.00000000,0.00000000
0.00000000,0.00000000,0.54545015,0.00000000,0.00000000,0.54545015,0.00000000,0.00000000
0.00000000,0.00000000,0.53249460,0.00000000,0.00000000,0.53249460,0.00000000,0.00000000
0.00000000,0.00000000,0.53455293,0.00000000,0.00000000,0.53455293,0.00000000,0.00000000
0.00000000,0.00000000,0.52745444,0.00000000,0.00000000,0.52745444,0.00000000,0.00000000
0.00000000,0.00000000,0.51635468,0.00000000,0.00000000,0.51635468,0.00000000,0.00000000
0.00000000,0.00000000,0.51420379,0.00000000,0.00000000,0.51420379,0.00000000,0.00000000
0.00000000,0.00000000,0.51342863,0.00000000,0.00000000,0.51342863,0.00000000,0.00000000
0.00000000,0.00000000,0.51463687,0.00000000,0.00000000,0.51463687,0.00000000,0.00000000
0.00000000,0.00000000,0.51522481,0.00000000,0.00000000,0.51522481,0.00000000,0.00000000
0.00000000,0.00000000,0.51566923,0.00000000,0.00000000,0.51566923,0.00000000,0.00000000
0.00000000,0.00000000,0.51690274,0.00000000,0.00000000,0.51690274,0.00000000,0.00000000
0.00000000,0.00000000,0.51935440,0.00000000,0.00000000,0.51935440,0.00000000,0.00000000
0.00000000,0.00000000,0.52910554,0.00000000,0.00000000,0.52910554,0.00000000,0.00000000
0.00000000,0.00000000,0.52611142,0.00000000,0.00000000,0.52611142,0.00000000,0.00000000
0.00000000,0.00000000,0.52387434,0.00000000,0.00000000,0.52387434,0.00000000,0.00000000
0.00000000,0.00000000,0.52519989,0.00000000,0.00000000,0.52519989,0.00000000,0.00000000
0.00000000,0.00000000,0.52894509,0.00000000,0.00000000,0.52894509,0.00000000,0.00000000
0.00000000,0.00000000,0.53109848,0.00000000,0.00000000,0.53109848,0.00000000,0.00000000
0.00000000,0.00000000,0.51841497,0.00000000,0.00000000,0.51841497,0.00000000,0.00000000
0.00000000,0.00000000,0.50487614,0.00000000,0.00000000,0.50487614,0.00000000,0.00000000
0.00000000,0.00000000,0.51460278,0.00000000,0.00000000,0.51460278,0.00000000,0.00000000
0.00000000,0.00000000,0.51820922,0.00000000,0.00000000,0.51820922,0.00000000,0.00000000
0.00000000,0.00000000,0.51457882,0.00000000,0.00000000,0.51457882,0.00000000,0.00000000
0.00000000,0.00000000,0.52268070,0.00000000,0.00000000,0.52268070,0.00000000,0.00000000
0.00000000,0.00000000,0.51705879,0.00000000,0.00000000,0.51705879,0.00000000,0.00000000
0.00000000,0.00000000,0.50968468,0.00000000,0.00000000,0.50968468,0.00000000,0.00000000
0.00000000,0.00000000,0.50800568,0.00000000,0.00000000,0.50800568,0.00000000,0.00000000
0.00000000,0.00000000,0.50586146,0.00000000,0.00000000,0.50586146,0.00000000,0.00000000
0.00000000,0.00000000,0.50529969,0.00000000,0.00000000,0.50529969,0.00000000,0.00000000
0.00000000,0.00000000,0.50606084,0.00000000,0.00000000,0.50606084,0.00000000,0.00000000
0.00000000,0.00000000,0.50642043,0.00000000,0.00000000,0.50642043,0.00000000,0.00000000
0.00000000,0.00000000,0.50626165,0.00000000,0.00000000,0.50626165,0.00000000,0.00000000
0.00000000,0.00000000,0.50722772,0.00000000,0.00000000,0.50722772,0.00000000,0.00000000
0.00000000,0.00000000,0.50769997,0.00000000,0.00000000,0.50769997,0.00000000,0.00000000
0.00000000,0.00000000,0.50769085,0.00000000,0.00000000,0.50769085,0.00000000,0.00000000
0.00000000,0.00000000,0.51123619,0.00000000,0.00000000,0.51123619,0.00000000,0.00000000
0.00000000,0.00000000,0.51556873,0.00000000,0.00000000,0.51556873,0.00000000,0.00000000
0.00000000,0.00000000,0.51962060,0.00000000,0.00000000,0.51962060,0.00000000,0.00000000
0.00000000,0.00000000,0.52758324,0.00000000,0.00000000,0.52758324,0.00000000,0.00000000
0.00000000,0.00000000,0.53647774,0.00000000,0.00000000,0.53647774,0.00000000,0.00000000
0.00000000,0.00000000,0.52479470,0.00000000,0.00000000,0.52479470,0.00000000,0.00000000
0.00000000,0.00000000,0.51965171,0.00000000,0.00000000,0.51965171,0.00000000,0.00000000
0.00000000,0.00000000,0.52302659,0.00000000,0.00000000,0.52302659,0.00000000,0.00000000
0.00000000,0.00000000,0.50960565,0.00000000,0.00000000,0.50960565,0.00000000,0.00000000
0.00000000,0.00000000,0.50807613,0.00000000,0.00000000,0.50807613,0.00000000,0.00000000
0.00000000,0.00000000,0.50648344,0.00000000,0.00000000,0.50648344,0.00000000,0.00000000
0.00000000,0.00000000,0.51376832,0.00000000,0.00000000,0.51376832,0.00000000,0.00000000
0.00000000,0.00000000,0.50435454,0.00000000,0.00000000,0.50435454,0.00000000,0.00000000
0.00000000,0.00000000,0.50313914,0.00000000,0.00000000,0.50313914,0.00000000,0.00000000
0.00000000,0.00000000,0.50396919,0.00000000,0.00000000,0.50396919,0.00000000,0.00000000
0.00000000,0.00000000,0.50432831,0.00000000,0.00000000,0.50432831,0.00000000,0.00000000
