y_t_0,y_t_1
2.91519308,-6.66217375
3.85752368,-8.40808201
-1.09033728,-2.43711376
3.11191964,-5.91200733
1.88858938,-6.37543869
3.36421967,-3.30095124
4.46145010,-2.74036670
2.81539583,-2.58305812
2.42518663,-2.97007990
2.89748144,-4.35921240
3.48928261,-4.07049084
2.86456513,-5.38402653
3.63684559,-3.87707400
3.55301023,-4.12267971
4.71017075,-8.38226414
-1.63126373,-1.34230816
1.95715749,-1.74417984
3.35083556,-1.44529879
2.95304894,-2.76319814
2.13958716,-3.51859379
3.98125124,-1.60553050
10.16544819,1.36647677
8.99624252,4.18659735
7.47280407,-0.19699384
3.92356944,-3.47176528
5.90859985,-6.02875423
0.56992632,-0.77747732
1.62906706,0.45645195
2.69408917,-0.35459262
3.20675182,-0.95085359
2.55642295,-1.44278955
4.34710598,-1.06688559
3.46501303,-0.91141886
3.35329103,-1.67225540
2.83414435,-1.81585300
2.73882651,-1.47255599
2.04224181,-0.56823045
2.76892471,-1.39817023
3.58811688,-2.13400388
5.63634300,-4.52006006
1.41710293,1.68139291
0.45448127,-0.41887912
4.45731592,-2.91455603
0.82902646,-0.27569249
-2.10146022,-0.00969188
3.02497268,2.11517620
2.27003217,-0.45879275
3.35042048,-1.20545530
1.26078105,-2.17960143
1.49771214,0.82632267
1.61316156,0.23631592
1.55248213,0.61919820
1.45695448,-0.22633003
2.05970025,-0.29263288
2.10276413,-1.07384062
1.88167787,-0.26756808
1.52227557,0.32618833
1.14369631,0.51625872
0.57218814,1.66532898
0.38182318,-0.33414671
2.01109982,1.18549442
1.44400823,0.41759148
1.52140844,0.50295466
1.81228042,-1.33971941
1.47941649,0.67828763
1.26030719,0.72886008
1.69330180,0.59672070
1.83219337,0.38441893
0.75063443,0.26494122
1.71448708,0.68283367
1.43075764,0.20952532
1.34963059,0.23258904
1.64794230,0.41152167
1.15177596,-0.52149296
1.00364494,-0.06578606
1.21597397,-0.03415800
1.45913219,0.05695809
1.07628608,-0.08747962
1.34472466,0.44707528
1.73863018,-2.25005102
1.74435449,1.74476612
1.61405981,2.77311540
1.50925815,-0.33022660
0.26110822,0.36970031
2.74310040,-0.75009739
1.10363388,0.23504972
2.12314582,-1.35037148
-4.98852301,-4.03146648
3.35947490,3.04708457
7.02558899,5.16158009
1.53150856,-4.15616608
-0.54685253,-6.57852316
1.99931300,-1.56669748
2.72110462,1.05744338
1.28585947,0.59888279
1.40831518,-1.13373375
2.11775136,-1.74765277
1.90580618,-0.73017544
1.54773426,-0.16481921
1.25066209,0.05301058
1.71084237,-0.69718999
1.63563168,-0.96165943
1.85782051,-1.06127524
1.71570802,-0.67420465
1.30581224,-0.34352595
1.79294538,-0.42750299
1.94892490,-0.90929198
1.72645903,-0.66615200
2.05068898,-0.40247607
1.68722975,-0.61271673
1.82615054,-0.45832068
1.56065869,-0.67025608
1.91946769,-0.67060983
1.56452799,-0.46235758
2.10479736,-0.55178577
1.86038828,-0.48963210
1.70305502,-0.45882466
1.76882255,-0.75943446
1.79772270,-0.57904196
1.49721026,-0.45901167
1.82034826,-0.69663471
1.93192697,-0.69333118
1.56350994,-0.49178860
1.95857549,-0.55317944
1.79469562,-0.72814751
1.84428179,-0.76695710
1.86130548,-0.37022874
1.83062744,-0.79061568
1.80627000,-0.64297467
1.62198865,-0.43138146
1.75380373,-0.70629108
1.77676022,-0.34228703
1.89385235,-0.52110064
1.96688807,-0.67652041
1.72066939,-0.52350944
2.04555416,-0.52179736
1.41803670,-0.55397987
1.77477837,-0.82318908
1.86156976,-0.82082951
1.66679692,-0.55683631
1.59050012,-0.52078944
1.54175007,-0.64552343
1.96844304,-0.72645116
1.59473252,-0.76308048
1.90076768,-0.87178493
2.04042697,-0.67090821
1.86982262,-0.97560197
1.64497101,-1.14763319
2.00887942,-0.31008586
2.07019830,-0.70049036
1.77545476,-0.67315483
2.01791263,-1.09412837
1.76639056,-0.48927033
1.60667288,-0.95102775
1.62095392,-0.40133497
1.56981170,-0.28257445
1.74161565,-0.76184100
1.92423224,-0.64144552
1.79974592,-0.28062740
1.89079750,-0.66054058
1.64606333,-1.02715969
2.05667138,-0.25247994
1.41348314,-0.40157500
2.01421618,-0.58188736
1.64669311,-0.57899421
2.02137876,-0.81337500
1.55019188,-0.55778259
1.69153774,-0.79623151
1.75567186,-0.36768267
1.39756179,-0.81343096
2.24712348,-0.48942688
1.62848592,-0.46291551
1.76761007,-0.40007722
2.04280424,-0.49095339
2.07558036,-0.64254314
1.90072167,-0.34316877
1.56394994,-0.34159437
1.73709035,-0.69958943
1.73931324,-0.82065088
1.92531085,-0.34149987
1.71009648,-0.55097878
1.60846889,-0.61865550
1.85461819,-1.26713586
1.93383050,-0.67486197
1.39898336,-0.45808038
1.64120531,-0.52837449
1.85827625,-0.45998865
1.55359292,-1.26601732
1.80814266,-0.57408512
2.09052086,-0.57860351
1.74755180,-0.34246656
1.83121192,-1.09103990
1.52912176,-0.52006394
1.99043190,-0.10079885
1.99476182,-0.25236124
1.89706731,-0.76375270
1.67065084,-0.48820770
1.83360434,-0.31069726
2.07070327,-0.43063042
1.78283906,-0.61489475
1.88957238,-0.94157684
1.71740568,-0.43248397
1.75319755,-0.34289855
2.18057847,-0.82816821
1.96843016,-0.75565338
1.71828735,-0.46306846
2.08596849,-0.64464158
1.73871922,-0.54958200
1.62158644,-0.31082651
1.50625575,-0.70344710
1.91988873,-1.00020444
1.93897069,-0.28338474
1.41220629,-0.55128741
2.07119632,-0.22067577
1.59197176,-0.34065795
1.85870814,-0.78958082
2.00092649,-0.69748521
1.80334103,-0.37061858
1.85592997,-0.54890752
2.00271702,-0.79963857
1.74207056,-0.64105189
1.63305187,-0.70633376
1.90494061,-0.79738259
1.76300228,-0.66784424
1.74475873,-0.67234212
2.01328039,-0.82160878
1.68211937,-0.88203293
1.47024643,-0.82054996
2.06707358,-0.49030590
2.14500928,-0.64559412
1.69853711,-0.48729223
1.90034103,-0.40333432
1.80687618,-0.31195146
2.04601812,-0.88322902
1.65906012,-0.46352619
1.65920734,-0.67411518
2.16631150,-0.82258958
1.47548032,-0.82395631
1.85709906,-0.51965195
1.87004304,-0.82487524
1.86603189,-0.67326409
2.08312798,-0.64446110
1.93468463,-0.94735205
1.86521125,-0.82356066
1.50013924,-0.43074438
1.66786885,-0.42724171
1.93027461,-0.46304852
2.07058072,-1.12032151
1.77055883,-0.34004346
1.50459099,-1.00425255
1.68324125,-0.76184642
1.81547487,-1.03992426
1.81218851,-0.70471185
1.85826957,-0.84973961
1.79759228,-0.91007340
1.65907848,-0.37218189
1.79657352,-0.63905382
2.14012074,-0.70331889
1.97247183,-0.55658412
2.05670404,-0.79669452
1.59772003,-0.37261936
