q_x1_0,q_x1_1,q_x1_2,q_x1_3
0.00000000,-0.02119665,0.13170733,0.00144055f
0.00000000,-0.01831555,0.14611281,0.01131860f
0.00000000,-0.00617378,0.15928353,0.00308689f
0.00000000,-0.02675305,0.15166922,0.00493902f
0.00000000,-0.01749238,0.12717988,0.00493902f
0.00000000,-0.02469512,0.13026677,-0.00699695f
0.00000000,-0.01399390,0.11647867,-0.00576220f
0.00000000,-0.00946646,0.08910824,0.00000000f
0.00000000,0.00411585,0.08314025,0.00370427f
0.00000000,0.00226372,0.08067074,0.00637957f
0.00000000,0.00576220,0.08416922,0.00658537f
0.00000000,-0.00041159,0.08622713,0.00473323f
0.00000000,-0.00535061,0.08746190,0.00205793f
0.00000000,-0.01028963,0.09054878,0.00185213f
0.00000000,-0.00349848,0.09733995,0.00864329f
0.00000000,0.02613567,0.11812501,-0.00637957f
0.00000000,-0.01111281,0.11380336,-0.00308689f
0.00000000,0.00740854,0.10886434,-0.00082317f
0.00000000,0.02551829,0.10927591,0.00329268f
0.00000000,0.02983994,0.11668445,0.00926067f
0.00000000,0.03313262,0.11977135,0.01749238f
0.00000000,0.00823171,0.09219512,0.02263720f
0.00000000,-0.02881098,0.03457317,0.01769817f
0.00000000,-0.08334604,0.00884909,0.01090701f
0.00000000,-0.09425306,0.00761433,0.00576220f
0.00000000,-0.07532012,0.03724848,0.00843750f
0.00000000,-0.09816312,0.04033537,0.00452744f
0.00000000,-0.07532012,0.05144817,0.00823171f
0.00000000,-0.05967988,0.03272104,0.00761433f
0.00000000,-0.05618140,0.02634146,0.00370427f
0.00000000,-0.04794970,0.02263720,0.00226372f
0.00000000,-0.04527439,0.02222561,0.00041159f
0.00000000,-0.05021342,0.01975610,-0.00144055f
0.00000000,-0.05103659,0.02181403,-0.00288110f
0.00000000,-0.05083080,0.02057927,-0.00205793f
0.00000000,-0.05268293,0.02654726,-0.00164634f
0.00000000,-0.05494665,0.02634146,0.00102896f
0.00000000,-0.05474086,0.02654726,0.00288110f
0.00000000,-0.06585366,0.03333842,0.00329268f
0.00000000,-0.06379573,0.05926830,0.00699695f
0.00000000,-0.09178354,0.03560213,0.00267531f
0.00000000,-0.09898629,0.06338415,0.00699695f
0.00000000,-0.10433690,0.08807927,0.00658537f
0.00000000,-0.08766769,0.06811739,0.00802592f
0.00000000,-0.06914634,0.06914634,0.01234756f
0.00000000,-0.08252287,0.06750000,0.00987805f
0.00000000,-0.05391768,0.04136433,0.00576220f
0.00000000,-0.04980183,0.03766006,0.00000000f
0.00000000,-0.04856708,0.02757622,-0.00061738f
0.00000000,-0.06358994,0.05165397,-0.00349848f
0.00000000,-0.04074695,0.02037348,-0.00329268f
0.00000000,-0.03395579,0.01852134,-0.00205793f
0.00000000,-0.03889482,0.01955031,-0.00226372f
0.00000000,-0.04012958,0.02140244,-0.00226372f
0.00000000,-0.04424543,0.03025153,-0.00226372f
0.00000000,-0.04815549,0.03477896,-0.00267531f
0.00000000,-0.04733232,0.03498476,-0.00329268f
0.00000000,-0.04321647,0.03395579,-0.00411585f
0.00000000,-0.03930640,0.02757622,-0.00308689f
0.00000000,-0.03169208,0.01584604,-0.00205793f
0.00000000,-0.03457317,0.02387195,-0.00349848f
0.00000000,-0.03189787,0.01214177,-0.00226372f
0.00000000,-0.03004573,0.01440549,-0.00226372f
0.00000000,-0.02757622,0.00884909,-0.00185213f
0.00000000,-0.03539634,0.01358232,-0.00267531f
0.00000000,-0.03107470,0.00864329,-0.00308689f
0.00000000,-0.03004573,0.00802592,-0.00267531f
0.00000000,-0.03107470,0.00576220,-0.00185213f
0.00000000,-0.03148628,0.00473323,-0.00267531f
0.00000000,-0.03169208,0.00823171,-0.00205793f
0.00000000,-0.03210366,0.00329268,-0.00205793f
0.00000000,-0.03066311,0.00720274,-0.00226372f
0.00000000,-0.03107470,0.00761433,-0.00246951f
0.00000000,-0.03148628,0.00679116,-0.00144055f
0.00000000,-0.03004573,0.00493902,-0.00144055f
0.00000000,-0.02819360,0.00370427,-0.00185213f
0.00000000,-0.02778201,0.00267531,-0.00123476f
0.00000000,-0.02922256,-0.00226372,-0.00041159f
0.00000000,-0.02716463,0.00205793,-0.00082317f
0.00000000,-0.02284299,-0.01749238,-0.00020579f
0.00000000,-0.01131860,-0.01173018,0.00226372f
0.00000000,-0.02901677,0.00144055,-0.00102896f
0.00000000,-0.02057927,-0.02572409,-0.00144055f
0.00000000,-0.00884909,-0.02284299,-0.00123476f
0.00000000,-0.00020579,-0.01646342,-0.00061738f
0.00000000,-0.02325457,-0.00761433,-0.00164634f
0.00000000,-0.01255335,-0.01687500,0.00020579f
0.00000000,-0.01625762,-0.02551829,0.01975610f
0.00000000,-0.01028963,-0.03621951,0.02716463f
0.00000000,-0.01728659,-0.03951220,0.01131860f
0.00000000,-0.04836128,-0.04939025,0.00000000f
0.00000000,-0.02922256,-0.00308689,-0.00308689f
0.00000000,-0.00926067,0.03601372,-0.00349848f
0.00000000,-0.03416159,0.02284299,-0.00288110f
0.00000000,-0.03580793,-0.00514482,-0.00205793f
0.00000000,-0.02490092,-0.00370427,-0.00226372f
0.00000000,-0.02490092,0.00864329,-0.00308689f
0.00000000,-0.03148628,0.01625762,-0.00267531f
0.00000000,-0.03313262,0.01337652,-0.00288110f
0.00000000,-0.02983994,0.00802592,-0.00267531f
0.00000000,-0.02716463,0.00576220,-0.00226372f
0.00000000,-0.02901677,0.00967226,-0.00226372f
0.00000000,-0.02983994,0.01255335,-0.00267531f
0.00000000,-0.03025153,0.01214177,-0.00288110f
0.00000000,-0.02942835,0.00926067,-0.00267531f
0.00000000,-0.02922256,0.00905488,-0.00226372f
0.00000000,-0.02901677,0.00946646,-0.00308689f
0.00000000,-0.02963415,0.01131860,-0.00288110f
0.00000000,-0.02901677,0.01028963,-0.00267531f
0.00000000,-0.02922256,0.00987805,-0.00205793f
0.00000000,-0.02881098,0.00905488,-0.00288110f
0.00000000,-0.02963415,0.00987805,-0.00267531f
0.00000000,-0.02942835,0.01070122,-0.00267531f
0.00000000,-0.02942835,0.01090701,-0.00246951f
0.00000000,-0.02942835,0.01049543,-0.00288110f
0.00000000,-0.03025153,0.00967226,-0.00246951f
0.00000000,-0.02983994,0.01070122,-0.00246951f
0.00000000,-0.02963415,0.00987805,-0.00308689f
0.00000000,-0.02942835,0.00967226,-0.00164634f
0.00000000,-0.02922256,0.00967226,-0.00246951f
0.00000000,-0.02963415,0.01028963,-0.00288110f
0.00000000,-0.02983994,0.00987805,-0.00267531f
0.00000000,-0.02922256,0.01049543,-0.00308689f
0.00000000,-0.02942835,0.01070122,-0.00308689f
0.00000000,-0.02922256,0.01008384,-0.00246951f
0.00000000,-0.02901677,0.01070122,-0.00349848f
0.00000000,-0.02922256,0.00987805,-0.00267531f
0.00000000,-0.02963415,0.01028963,-0.00267531f
0.00000000,-0.02963415,0.01070122,-0.00246951f
0.00000000,-0.02922256,0.01070122,-0.00267531f
0.00000000,-0.02922256,0.01049543,-0.00288110f
0.00000000,-0.02922256,0.01090701,-0.00246951f
0.00000000,-0.02983994,0.01008384,-0.00226372f
0.00000000,-0.02963415,0.01070122,-0.00226372f
0.00000000,-0.02983994,0.01028963,-0.00288110f
0.00000000,-0.02922256,0.01028963,-0.00205793f
0.00000000,-0.02901677,0.01049543,-0.00308689f
0.00000000,-0.02922256,0.01070122,-0.00267531f
0.00000000,-0.02963415,0.01008384,-0.00267531f
0.00000000,-0.02942835,0.01111281,-0.00246951f
0.00000000,-0.02942835,0.01049543,-0.00308689f
0.00000000,-0.02963415,0.01049543,-0.00267531f
0.00000000,-0.02963415,0.01070122,-0.00246951f
0.00000000,-0.02963415,0.01070122,-0.00267531f
0.00000000,-0.02942835,0.01049543,-0.00288110f
0.00000000,-0.02942835,0.01070122,-0.00246951f
0.00000000,-0.03025153,0.01070122,-0.00288110f
0.00000000,-0.02922256,0.01070122,-0.00246951f
0.00000000,-0.02983994,0.01028963,-0.00329268f
0.00000000,-0.02922256,0.01028963,-0.00288110f
0.00000000,-0.02983994,0.01111281,-0.00246951f
0.00000000,-0.02983994,0.00987805,-0.00246951f
0.00000000,-0.02983994,0.01028963,-0.00267531f
0.00000000,-0.02922256,0.01070122,-0.00246951f
0.00000000,-0.02901677,0.01090701,-0.00226372f
0.00000000,-0.02901677,0.01070122,-0.00288110f
0.00000000,-0.02881098,0.01070122,-0.00267531f
0.00000000,-0.02922256,0.00987805,-0.00329268f
0.00000000,-0.02860518,0.01049543,-0.00185213f
0.00000000,-0.02901677,0.01049543,-0.00246951f
0.00000000,-0.03025153,0.00987805,-0.00267531f
0.00000000,-0.02963415,0.01049543,-0.00267531f
0.00000000,-0.02881098,0.01028963,-0.00267531f
0.00000000,-0.02901677,0.01049543,-0.00205793f
0.00000000,-0.02901677,0.00987805,-0.00246951f
