temp6_0,temp6_1,temp6_2,temp6_3
0.00000000,1.55922842,-3.56334901,0.00000000f
0.00000000,2.09102678,-4.55772305,0.00000000f
0.00000000,-0.59788299,-1.33638358,0.00000000f
0.00000000,1.69739699,-3.22470522,0.00000000f
0.00000000,1.00566363,-3.39488673,0.00000000f
0.00000000,1.79835343,-1.76453316,0.00000000f
0.00000000,2.35321164,-1.44541860,0.00000000f
0.00000000,1.45374286,-1.33377409,0.00000000f
0.00000000,1.24704015,-1.52722633,0.00000000f
0.00000000,1.48764992,-2.23814440,0.00000000f
0.00000000,1.79571354,-2.09482479,0.00000000f
0.00000000,1.47589505,-2.77398396,0.00000000f
0.00000000,1.87540936,-1.99928772,0.00000000f
0.00000000,1.83656073,-2.13102436,0.00000000f
0.00000000,2.44624782,-4.35336590,0.00000000f
0.00000000,-0.86311066,-0.71022266,0.00000000f
0.00000000,1.02968287,-0.91763294,0.00000000f
0.00000000,1.75541675,-0.75715494,0.00000000f
0.00000000,1.55094099,-1.45123136,0.00000000f
0.00000000,1.13172412,-1.86114287,0.00000000f
0.00000000,2.11443639,-0.85269481,0.00000000f
0.00000000,5.26992035,0.70840204,0.00000000f
0.00000000,4.54198837,2.11371303,0.00000000f
0.00000000,3.84552574,-0.10137358,0.00000000f
0.00000000,2.03322983,-1.79910076,0.00000000f
0.00000000,3.04044032,-3.10226917,0.00000000f
0.00000000,0.29788950,-0.40637240,0.00000000f
0.00000000,0.84232342,0.23601249,0.00000000f
0.00000000,1.37313592,-0.18073043,0.00000000f
0.00000000,1.62904811,-0.48303902,0.00000000f
0.00000000,1.29319584,-0.72985160,0.00000000f
0.00000000,2.19659138,-0.53909695,0.00000000f
0.00000000,1.75350738,-0.46123338,0.00000000f
0.00000000,1.69817507,-0.84686428,0.00000000f
0.00000000,1.43481863,-0.91929674,0.00000000f
0.00000000,1.38920867,-0.74692124,0.00000000f
0.00000000,1.03684604,-0.28849059,0.00000000f
0.00000000,1.40575778,-0.70983821,0.00000000f
0.00000000,1.83437526,-1.09098005,0.00000000f
0.00000000,2.90592217,-2.33040166,0.00000000f
0.00000000,0.73635590,0.87368637,0.00000000f
0.00000000,0.23977670,-0.22099361,0.00000000f
0.00000000,2.39125085,-1.56359446,0.00000000f
0.00000000,0.43506870,-0.14468196,0.00000000f
