q_x1_0,q_x1_1,q_x1_2,q_x1_3
0.99983728,-0.02119320,0.13168590,0.00144031
1.00669479,0.00246822,0.10132422,0.01696129
1.00986671,0.02295990,0.09694992,0.02740715
1.00220001,-0.03925133,0.13305615,0.02965315
1.00615489,0.00586067,0.07939272,0.03850189
1.00661922,-0.01202106,0.08270741,0.03251609
1.00197339,0.00587488,0.10217219,0.02788201
1.00234222,0.02822486,0.06498658,0.03584458
1.00122607,0.02600388,0.06356892,0.04341323
1.00132287,0.02058024,0.05805204,0.05287710
1.00206339,0.02748071,0.05184689,0.06248216
1.00189531,0.02507084,0.05893963,0.06899915
1.00299633,0.01520891,0.05095249,0.07147686
1.00217378,0.01426883,0.06606315,0.07310418
1.00190437,0.02031074,0.07031481,0.08330705
1.00676715,0.06224779,0.05643807,0.08598854
1.00131667,-0.03402588,0.10083173,0.08113517
1.00144970,0.01790134,0.09397378,0.08553240
0.99912930,0.04427423,0.10875945,0.08947357
0.99998266,0.04687869,0.10363751,0.10279158
0.99997824,0.04261066,0.10051056,0.12321366
0.99712574,0.03231367,0.08875991,0.14758685
0.99858928,0.04720882,0.05682757,0.16847377
1.00317526,-0.01828825,0.04243099,0.17465211
1.00392199,-0.04113722,0.00322138,0.17125344
1.00169456,-0.04954862,0.00326771,0.16823515
1.00699127,-0.04304914,-0.02152218,0.17004818
0.99903429,-0.08091851,0.03298702,0.16976702
0.99881101,-0.05719943,0.03062552,0.17073837
1.00027180,-0.04088340,0.01916147,0.16929898
1.00076258,-0.02584754,0.01209169,0.16691618
1.00084865,-0.02856734,0.00780047,0.15886074
1.00182617,-0.01893938,0.00965254,0.15079358
1.00164533,-0.02773867,0.01225845,0.13978025
1.00161397,-0.02742042,0.00526976,0.13025761
1.00155079,-0.03298861,0.00877826,0.12277825
1.00116062,-0.03596493,0.01105344,0.11934136
1.00036955,-0.04298207,0.01830460,0.11729486
1.00113952,-0.04815126,0.01807561,0.11612070
1.00166583,-0.04172513,0.03888037,0.11940536
1.00590265,-0.04016609,-0.01077594,0.12299684
0.99878603,-0.09943359,0.06606843,0.12627482
0.99893641,-0.11581001,0.07563461,0.12758577
